,Unnamed: 0,id,top_chart_position_free,top_chart_position_grossing,tHealth&Fitness,tLocation,tContactInfo,tDiagnostics,tSensitiveInfo,tUsageData,tBrowsingHistory,tContacts,tPurchases,tIdentifiers,tOtherData,tFinancialInfo,tSearchHistory,tUserContent,lHealth&Fitness,lLocation,lContactInfo,lDiagnostics,lSensitiveInfo,lUsageData,lBrowsingHistory,lContacts,lPurchases,lIdentifiers,lOtherData,lFinancialInfo,lSearchHistory,lUserContent,uHealth&Fitness,uLocation,uContactInfo,uDiagnostics,uSensitiveInfo,uUsageData,uBrowsingHistory,uContacts,uPurchases,uIdentifiers,uOtherData,uFinancialInfo,uSearchHistory,uUserContent,primaryGenreId,size,developerId,score,reviews,price,free,tracking_count,linked_count,unlinked_count,all_count,has_tracking,has_linked,has_unlinked,has_any
tBrowsingHistory,-0.026402699829300044,-0.06849336082908732,-0.04058476706991057,-0.009281285984508213,0.03671383014245621,0.09374984833594337,0.1503271271847591,0.09857109332729583,0.06361031443926503,0.12936538456968705,1.0,0.010123916901247818,0.12363310879743955,0.11563527505053649,0.050028061879613034,0.06455191946956512,0.36143777180025427,0.09471682227976724,-0.002972210751753825,0.07388289270337962,0.08498503807637348,0.09324123656168228,0.014340739474641588,0.10597463354301064,0.6453811499882818,0.057039577210452795,0.10560056887182585,0.0905404536242273,0.04013574318930121,0.07011624376699217,0.18057786405361503,0.0786113350066454,-0.0010541079818558678,-0.008661742027322988,-0.014868596070446907,-0.029420511681692702,-0.008084372353857755,-0.0416999704498009,0.1509887167491658,-0.005646010640137197,-0.017002872658669278,-0.03868492804855045,0.03013676497781019,-0.004174341049853241,0.03447937287958602,0.004168363811133597,0.0471381347744194,0.009439858749457816,-0.06706240387791182,0.02016681160979955,0.06500774924436009,-0.02427262097874101,0.02428368741968515,0.1731391288303572,0.13254114495881963,-0.028893255050930558,0.15854226819948047,0.11136217352927391,0.0743777944684178,-0.030068414301989598,0.04235711440340323
tContacts,0.0306206871358323,-0.05658623999496192,-0.009916520315269193,-0.0692640793543207,0.04031171556281341,0.12930340914144198,0.155245059511811,0.1582863461209199,0.058790740723036874,0.08359114353348004,0.010123916901247818,1.0,0.14230910787958487,0.07518186849949766,0.19799197561708254,0.07171835213354968,0.003437825632423642,0.2815031325649324,-0.00375791381550668,0.09353167779837009,0.06935542868363598,0.09706121294460172,0.016763996936340782,0.07388271828499646,0.010186302774038624,0.3188863576952,0.09900278425681788,0.06351232250045587,0.15042749667831926,0.018100323141554176,0.004646122193928488,0.09453508194420113,-0.007203030501273093,-0.02124080575986754,-0.014368750313132698,-0.05577922817149613,-0.005103176461339396,-0.043601311322765686,-0.006019983616253457,0.004393028954750894,-0.01775881774838753,-0.03506219887985666,-0.005747696075202535,-0.00831834441590436,-0.005669073390865241,-0.014415562015847,0.0019709417718017214,0.008451009418346847,-0.056687889107905266,-0.014597121968529239,0.023115142197869056,-0.015321841030072792,0.015328826606499141,0.11795080494168972,0.10302710595755257,-0.05786418067283532,0.10810433468438822,0.0702962206295456,0.05554152098739686,-0.0650241718902627,0.0267374905227566
tPurchases,-0.012586747983382699,-0.005781577562249552,-0.07341204958904922,-0.04179545995487186,0.04865672836930037,0.27145129902810855,0.24592530692956907,0.26896993549765535,0.03905343241423118,0.4082856020071002,0.12363310879743955,0.14230910787958487,1.0,0.40650335308363256,0.3038890182581036,0.13073197893786942,0.18111753455788465,0.2723748553065946,0.00807376928893431,0.18850382597174367,0.10107467524246948,0.23447592065208805,0.022442589456457034,0.2736216557516091,0.09296370326459685,0.09025905603820573,0.5392833677156327,0.23973417515079867,0.2394252207445985,0.07236715752725077,0.11907040084519405,0.18245807627512786,-0.012860326482984526,-0.03843342168383505,-0.027445800854226286,-0.0233287754473166,-0.012881931369398528,-0.06316540755356047,-0.007723878245762436,0.01791752461085309,0.15033528103748953,-0.04560705026481373,0.03509946900420804,-0.011773242520036248,0.049387635720058255,0.04026226845018008,0.10951441757007048,0.17097693841796496,-0.03831064171691453,0.08628818144415965,0.20956351333076828,-0.07341333914711655,0.07352430184755405,0.5248568848016606,0.3026926610631966,-0.027446795869905664,0.4489874945184984,0.37550503885975683,0.19719501973175113,-0.038608863399053645,0.14282506695018887
tIdentifiers,-0.09007504197086937,-0.05202182686555446,-0.11776334982572925,-0.07000518237514912,0.04248007516251799,0.39647968517315935,0.31878246067410176,0.36706652138081103,0.059996583892857086,0.6430868227977314,0.11563527505053649,0.07518186849949766,0.40650335308363256,1.0,0.22179223057689093,0.09698919311208642,0.1562841239643353,0.20137345411057112,0.0034299943655358585,0.22745949517857791,0.15250004902691192,0.26301112830041157,0.05119764030964026,0.33884696076775783,0.09629356276964236,0.08644263051445918,0.2791905184425541,0.3680908627880585,0.19742349782316854,0.048002773078293794,0.15084589576617388,0.20837258841406098,-0.0007478310442104574,0.03614421129684654,-0.03825065555290399,0.1191196715653654,-0.03422581646887475,0.07633780609764199,0.008037990505469432,0.016369300196024446,0.09574438268012785,0.1825420907288623,0.028393159796505946,-0.02847200850210474,0.05176450804015382,0.04829659724288164,0.10119509279198792,0.24663751993807484,-0.0602514446830534,0.11309656046710516,0.2808109764891399,-0.15377083400513025,0.1538264559625728,0.8760473397660717,0.3491118618523837,0.1384737050693788,0.6483596767759282,0.8531856434619385,0.3033229576256113,0.11989497818288684,0.32451307982022065
tOtherData,-0.03509741011618361,0.00592566336647745,-0.04202501335026953,-0.01167526286108709,0.015254476877634959,0.20623873581981916,0.08527904081559187,0.26259565325814366,0.017171962098931026,0.2484899855833501,0.050028061879613034,0.19799197561708254,0.3038890182581036,0.22179223057689093,1.0,0.024287390921177168,0.052784605114427834,0.17856502888517953,0.0054301827559015,0.14903871887341805,0.0021960394990200474,0.19689053084030508,0.009399342150651085,0.18825813258426358,0.031163467943570434,0.08689311347826477,0.19660689714106472,0.14764982525054743,0.6194428229686405,-0.008246478279721726,0.01991403090348833,0.08247231621060315,-0.00914787036973321,-0.038482995456198765,-0.032814480961635036,-0.07131321106622113,-0.014734685431759981,-0.07112637560260295,-1.9656808468983718e-05,0.005183226770878485,0.007567809288515626,-0.06844107079286302,0.14245168490661872,-0.02148614236885093,-0.01508643899961373,-0.001175203925568315,0.040535286525121866,0.12064917895150266,-0.04600341103911593,0.03091494286552343,0.1344544808026721,-0.03856383373308331,0.03855786651033715,0.30582961510355555,0.1903956996329707,-0.07850991058822741,0.25425054921811213,0.20297019040295813,0.12273248700850624,-0.09597618589333301,0.07720064455385894
tFinancialInfo,-0.024642756303130866,-0.0009824870153322294,-0.018883779743059343,-0.01793941783332336,0.05868654963484377,0.11996546245998732,0.1899588254380995,0.09974767985831913,0.13093708092222872,0.09966941455591427,0.06455191946956512,0.07171835213354968,0.13073197893786942,0.09698919311208642,0.024287390921177168,1.0,0.1442011225762223,0.1927320674104751,0.015586420336772523,0.10040709663056319,0.09418478441784588,0.07664376623620549,0.042783348301270875,0.08678904681483733,0.04349072354182598,0.050981007974950254,0.09705216683087084,0.08125149364612111,0.050433200856143376,0.2710767395078714,0.08321745433159196,0.08013596854147821,-0.009965772787387188,-0.013677466617243056,-0.005981914068753963,-0.021023360971364223,0.0012381904712322547,-0.04139092011823911,0.012824789515336431,0.002157561206175449,-0.014400866525434272,-0.04241472812181377,-0.0036937893309566157,0.0450456392091546,0.008233137275289458,-0.013452964748750181,0.03899294280471745,0.023075834147716766,-0.0013921603014948349,0.003293113149372184,0.013010340160693993,-0.02119857556665686,0.02120824048025699,0.15093445346311907,0.12199758632213727,-0.03259258099746642,0.13618412070792346,0.09725853062572375,0.07554929844454779,-0.020453166454183783,0.0369927290197668
tSearchHistory,-0.04881076844021041,-0.07648786614091917,-0.0540963734843186,-0.022898081131233438,0.014676262248811306,0.17217773559078783,0.24731348164498138,0.1313466007952556,0.06634122920417058,0.1798602711985133,0.36143777180025427,0.003437825632423642,0.18111753455788465,0.1562841239643353,0.052784605114427834,0.1442011225762223,1.0,0.2226124972172851,-0.012399808663502473,0.13393255966478618,0.12952607018349221,0.12109292748964708,0.019743745876419014,0.14866728251449907,0.2502884554811868,0.03655295383749087,0.14626694775286295,0.12896352511253542,0.0571243608750841,0.14436198876158482,0.42559665609907005,0.11603250706628453,-0.015385992694064802,-0.004715180683519051,-0.014484066344815801,-0.03896485664149738,0.005409323552191066,-0.06413510162325974,0.03333518753541224,-0.00952102452390123,-0.031271451306155454,-0.03802080801771435,-0.000777932533464658,0.015913441500023287,0.058989034213461286,-0.0005011745670189889,0.053520224679819345,0.018700638817081162,-0.05594021562951345,0.04286037358677811,0.06589905095391005,-0.03272813215307867,0.03274305365422192,0.2378487234922267,0.1868165873714144,-0.041513356669372614,0.21909431431176693,0.15015584577010935,0.11100180640001012,-0.024960513494223815,0.05711246589446628
tUserContent,0.013774646980714607,-0.022531203997047854,-0.018289457905966974,-0.0267380770112965,0.05644330371668928,0.21565425469236382,0.27094564269983584,0.28048073358301195,0.10582207872935398,0.21123934310750758,0.09471682227976724,0.2815031325649324,0.2723748553065946,0.20137345411057112,0.17856502888517953,0.1927320674104751,0.2226124972172851,1.0,-0.006805452374353427,0.1460074145247303,0.11265434465167162,0.18182595034348992,0.02347657996420302,0.16810251863824222,0.06329793059610875,0.12217320657763975,0.1775111024309449,0.13986974257267912,0.12331843667860747,0.040140073038936686,0.11699042657666224,0.25137375467319945,-0.001777860797491825,-0.03291515446270932,-0.007476686389868549,-0.06795320681813002,-0.0013845462633858255,-0.07661093944740364,-0.009449962799227036,0.0469483069250858,-0.008824475448682095,-0.04704091853822214,0.007110634024012346,-0.0072406515567930855,0.020951578828776372,0.04500370254401749,0.031178768321946552,0.06745178769190623,-0.03551160572757709,0.02454332885139969,0.071976946914678,-0.03799976490565885,0.03800279270440023,0.3007030024004674,0.20068170160285562,-0.060221653993440406,0.26145317762196607,0.1946667576046897,0.12197223269313553,-0.0622145025015446,0.07404239573533375
lHealth&Fitness,0.024568217170124026,-0.03023691409446029,-0.04996203614119442,0.038400166912193265,0.19268799781630397,-0.00947773325088186,0.04700078548098382,-0.0315090866408344,0.04289461812144236,-0.013551786879587132,-0.002972210751753825,-0.00375791381550668,0.00807376928893431,0.0034299943655358585,0.0054301827559015,0.015586420336772523,-0.012399808663502473,-0.006805452374353427,1.0,0.11430799346546607,0.1863619497349143,0.13217195006279944,0.350789067222388,0.1469575531196944,0.04617864912441238,0.05941926853405686,0.05953603302391892,0.1628370016358922,0.07624455747573955,0.08184577219558237,0.04907108884316985,0.19386400821235072,0.003810876418075124,-0.023311140107003095,-0.042247624575641234,-0.017906371797278046,-0.011314016092475652,-0.07153798508307566,0.015586420336772523,-0.001341118748444135,-0.0458642525885672,-0.08383830366657025,-0.02212065171470063,-0.010189282146178057,-0.01889105691620522,-0.02535333474790216,0.06745068793854132,0.054558484983667985,-0.018676092727488134,0.026725695718558654,0.05397956627297065,-0.033668883144355,0.03344921152626995,0.005134992269536725,0.24351661429556376,-0.06433445982608685,0.16174849098682603,0.006775813083371039,0.16617425062038438,-0.026236664367239145,0.07999569280965324
lLocation,-0.09466954986883379,-0.13506844866705525,-0.10018929231577517,-0.03676563077938794,0.04137798840371616,0.44780313580017894,0.22152063992298537,0.16301414241692935,0.056678891280605326,0.21835971902891926,0.07388289270337962,0.09353167779837009,0.18850382597174367,0.22745949517857791,0.14903871887341805,0.10040709663056319,0.13393255966478618,0.1460074145247303,0.11430799346546607,1.0,0.3544332052054652,0.41226363572880126,0.1745482874304243,0.4688320456548224,0.12623407263189365,0.21069820267436895,0.3087489269474974,0.46901846793318136,0.24320799118868927,0.23985455229724437,0.2706138187853682,0.39523396762824464,-0.012825040027469823,-0.1898436750578482,-0.09954634193107535,-0.07520819747636574,-0.025071398354479944,-0.21722721697628947,5.03609716403011e-05,0.010981055994735311,-0.11035626194844819,-0.24427760277376478,-0.0036139476588230484,-0.016912588773368552,0.03519108117718874,-0.0412696783415832,-0.008319719138441432,0.1348386013328344,-0.1403467433429965,0.05665117395768985,0.18859098677651892,-0.10086691346047744,0.10098879164521857,0.3074657088943376,0.6066188541237227,-0.2061112073038385,0.49389298477927285,0.23557844261119773,0.4335558835299287,-0.1077726992808085,0.20871225924110476
